name,address,latitude,longitude,price,stars,business_type,kitchen_type,veggy,GoodForKids,RestaurantsDelivery,WiFi,Alcohol,OutdoorSeating,breakfast,brunch,lunch,dinner,dessert,latenight,romantic,upscale,casual,trendy,classy,review_count,parking,Sunday_open,Sunday_close,Monday_open,Monday_close,Tuesday_open,Tuesday_close,Wednesday_open,Wednesday_close,Thursday_open,Thursday_close,Friday_open,Friday_close,Saturday_open,Saturday_close
Ohio City Pizzeria,3223 Lorain Ave,41.481552,-81.70923409999999,1,3.0,Pizza,Italian,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,52,False,,,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,22:00:00,17:00:00,22:00:00
West Town Village Market,3645 W 117th St,41.453728000000005,-81.768383,1,5.0,Grocery,Mediterranean,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,True,10:00:00,21:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,17:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00
Hansa Import Haus,2717 Lorain Ave,41.4832896,-81.70486319999999,2,5.0,other,other,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4,False,,,9:00:00,17:30:00,9:00:00,17:30:00,9:00:00,17:30:00,9:00:00,17:30:00,9:00:00,17:30:00,9:00:00,17:30:00
West 3rd Deli,1220 W 3rd St,41.501591,-81.698612,1,4.5,Sandwiches,other,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,39,False,,,,,7:00:00,18:00:00,7:00:00,18:00:00,7:00:00,18:00:00,7:00:00,18:00:00,,
Landmark,11637 Clifton Blvd,41.487186799999996,-81.7685123,2,4.5,Sandwiches,American,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,True,False,111,True,8:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,8:00:00,22:00:00
Max & Erma's Restaurants,Cleveland Hopkins In,41.478936299999994,-81.74041340000001,2,1.5,other,American,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3,False,,,,,,,,,,,,,,
Blue Breeze,16826 Lakeshore Blvd,41.580471,-81.562258,2,3.0,Sandwiches,American,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00
Michael's Bakery,4478 Broadview Rd,41.4339907,-81.6974218,2,5.0,Delis,other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,16,True,,,7:00:00,18:00:00,7:00:00,18:00:00,7:00:00,18:00:00,7:00:00,18:00:00,7:00:00,18:00:00,7:00:00,16:00:00
Sainato's at Rivergate,1852 Columbus Rd,41.4892123,-81.7008022,2,4.0,Pizza,Italian,False,True,True,True,True,True,False,False,False,True,False,True,False,False,True,False,False,96,False,11:00:00,20:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,22:00:00,10:00:00,0:00:00,10:00:00,0:00:00
Miega Restaurant,3820 Superior Ave E,41.512318,-81.6637391,2,3.5,other,Korean,False,True,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,135,True,11:30:00,21:30:00,,,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00
Nora,2181 Murray Hill Rd,41.5041563,-81.6002941,2,4.0,other,Italian,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,94,True,,,,,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,23:00:00,17:00:00,23:00:00
Hofbrauhaus Cleveland,1550 Chester Ave,41.5028607,-81.6811037,2,3.0,Bar,other,False,True,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,372,True,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,2:00:00,11:00:00,2:00:00
Wing Kee,23161 Emery Rd,41.43574133,-81.5152082,1,1.5,other,Chinese,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15,False,12:00:00,22:00:00,10:30:00,22:30:00,10:30:00,22:30:00,10:30:00,22:30:00,10:30:00,22:30:00,10:30:00,23:30:00,10:30:00,23:30:00
Barley House,1261 W 6th St,41.500608,-81.698986,2,3.0,Bar,American,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,216,True,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00,11:00:00,2:00:00
Balaton Restaurant,13133 Shaker Square,41.484705,-81.5907229,2,4.0,other,American,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,135,False,12:30:00,20:00:00,,,,,11:30:00,21:00:00,11:30:00,21:00:00,11:30:00,21:30:00,12:30:00,21:30:00
Arrabiata's Italian Restaurant,6169 Mayfield Rd,41.5205316,-81.4570989,2,3.5,other,Italian,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False,False,55,True,,,,,,,,,,,,,,
Au Bon Pain,1 W St Clair Ave,41.502109999999995,-81.694968,2,4.5,Cafe,other,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,,,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,7:00:00,15:00:00,,
Campbell's Popcorn Shop,1979 W 25th St,41.484572,-81.702964,2,3.5,other,other,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,,,7:00:00,16:00:00,,,7:00:00,16:00:00,,,7:00:00,18:00:00,7:00:00,18:00:00
Sakura,5855 Broadway Ave,41.46579628,-81.64852045,,4.0,other,Japanese,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,False,,,,,,,,,,,,,,
Blue Jade,"7080 Engle Rd, Ste B",41.3746218,-81.8257664,1,3.5,other,Chinese,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,28,True,,,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00,11:00:00,21:30:00
Jimmy John's,11446 Euclid Ave,41.5096674,-81.60403459999999,1,2.5,Sandwiches,other,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,12,False,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00
Dave's Cosmic Subs,2547 Lorain Ave,41.48380221,-81.70387889,1,3.0,Sandwiches,other,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,21,False,,,,,,,,,,,,,,
Cork-N-Bottle,6724 Mayfield Rd,41.5195864,-81.436705,1,3.5,Pizza,American,False,False,False,True,True,True,False,False,True,False,False,False,False,False,True,False,False,58,True,9:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00,9:00:00,2:30:00
Good Company,1200 W 76th St,41.4865859,-81.7377633,2,4.0,Burgers,American,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,60,True,11:00:00,23:00:00,,,16:00:00,0:00:00,16:00:00,0:00:00,16:00:00,0:00:00,16:00:00,1:00:00,11:00:00,1:00:00
Subway Restaurants,"13113 Shaker Blvd, Unit D1-D5",41.484458000000004,-81.591421,1,1.5,Sandwiches,other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,9:00:00,19:00:00,9:00:00,21:00:00,9:00:00,21:00:00,9:00:00,21:00:00,9:00:00,21:00:00,9:00:00,21:00:00,9:00:00,21:00:00
Parker's Downtown,2000 E 9th St,41.499856099999995,-81.68675019999999,2,4.0,Bar,American,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,86,True,8:00:00,22:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,0:00:00,8:00:00,0:00:00
Tapatia's Taqueria,12501 Lorain Ave,41.45976047,-81.7748696,1,4.5,Bar,Mexican,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,55,False,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,21:00:00,11:00:00,22:00:00,11:00:00,22:00:00
India's Cafe & Kitchen,5549 Ridge Rd,41.410567,-81.7342552,2,3.5,other,Indian,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21,True,12:00:00,20:00:00,,,17:30:00,21:30:00,17:30:00,21:30:00,17:30:00,21:30:00,17:30:00,21:30:00,12:00:00,21:00:00
Auntie Anne's,230 W Huron Rd,41.496884,-81.694052,,2.5,Fast Food,other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,,,,,,,,,,,,,,
Murray Hill Foods,4523 Renaissance Pkwy,41.437081,-81.491807,,5.0,other,Italian,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,False,,,,,,,,,,,,,,
Astoria Cafe & Market,5417 Detroit Ave,41.48529933,-81.72449201,2,4.5,Cafe,Mediterranean,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,True,False,187,True,10:00:00,15:00:00,,,9:00:00,21:00:00,9:00:00,21:00:00,9:00:00,21:00:00,9:00:00,22:00:00,9:00:00,22:00:00
Superelectric Pinball Parlor,6500 Detroit Ave,41.48423713,-81.73047528,,4.5,Bar,American,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,37,False,12:00:00,18:00:00,,,16:00:00,23:00:00,16:00:00,23:00:00,16:00:00,23:00:00,12:00:00,1:00:00,12:00:00,1:00:00
Chick-fil-A,5300 Riverside Dr,41.410644299999994,-81.83877820000001,1,4.0,Fast Food,American,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,17,False,,,,,6:30:00,22:00:00,6:30:00,22:00:00,4:00:00,20:00:00,6:30:00,22:00:00,4:00:00,19:00:00
Byte Cafe,3615 Superior Ave E,41.5128891,-81.6654561,1,4.5,Cafe,other,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,46,False,,,7:30:00,15:00:00,7:30:00,15:00:00,7:30:00,15:00:00,7:30:00,15:00:00,7:30:00,15:00:00,,
XYZ the Tavern,6419 Detroit Ave,41.4841386,-81.7298609,2,4.0,Pizza,American,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,False,False,227,True,9:00:00,2:30:00,11:30:00,2:30:00,11:30:00,2:30:00,11:30:00,2:30:00,11:30:00,2:30:00,11:30:00,2:30:00,9:00:00,2:30:00
Mixed Greens,230 W Huron Rd,41.4971659,-81.6940644,1,3.5,Sandwiches,other,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,False,,,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,,
Thirsty Parrot,812 Huron Rd E,41.498101,-81.685811,2,3.5,Bar,American,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,42,True,,,,,,,,,,,,,,
Phusion Cafe,11611 Euclid Ave,41.510985299999994,-81.60304964,1,4.0,other,Chinese,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,179,False,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00
Tomo Sushi & Hibachi,1293 W 9th St,41.499484,-81.70045390000001,3,3.0,Bar,Japanese,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,239,True,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,2:30:00,11:00:00,2:30:00
Johnny's Downtown,1406 W 6th St,41.498741100000004,-81.6981162,3,3.0,other,American,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,104,True,16:00:00,21:00:00,11:30:00,0:00:00,11:30:00,0:00:00,11:30:00,0:00:00,11:30:00,0:00:00,11:30:00,0:30:00,11:30:00,0:30:00
100th Bomb Group,20920 Brookpark Rd,41.4196781,-81.8475868,2,3.0,Sandwiches,American,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,False,True,203,True,16:00:00,20:30:00,,,16:30:00,21:00:00,16:30:00,21:00:00,16:30:00,21:00:00,16:30:00,23:00:00,16:30:00,23:00:00
Dagwood Sandwich Shop,5310 State Rd,41.4160344,-81.71085500000001,1,3.5,Sandwiches,other,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,38,True,,,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00
Luna's Deli Restaurant,6380 York Rd,41.387166799999996,-81.7627438,1,3.0,Delis,other,False,True,False,False,False,False,True,True,True,True,False,False,False,False,True,False,False,33,True,,,,,,,,,,,,,,
Burger King,3305 Clark Ave,41.469542,-81.705804,1,1.5,Fast Food,other,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,,,,,,,,,,,,,,
Wingstop,16902 Harvard Ave,41.449164,-81.56169200000001,,2.0,other,other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,False,11:00:00,0:00:00,,,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00
Samosky's Home Bakery,6379 Pearl Rd,41.3866145,-81.76669629999999,1,4.0,Bakeries,other,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14,False,,,,,,,,,,,,,,
Whiskey Island Still & Eatery,2800 Whiskey Island,41.4977924,-81.71593879999999,2,3.0,Bar,American,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,33,True,,,,,,,,,,,,,,
Farm House Foods,9000 Woodland Ave,41.4879574,-81.62350179999999,,2.5,other,other,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,False,,,9:00:00,18:00:00,9:00:00,18:00:00,9:00:00,18:00:00,9:00:00,18:00:00,8:00:00,19:00:00,8:00:00,18:00:00
A Touch of Italy,16822 Chagrin Blvd,41.4642456,-81.5618785,2,2.5,Pizza,Italian,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,26,True,12:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00
Best Wok Chinese,7671 W Ridgewood Dr,41.383402000000004,-81.737832,1,4.0,other,Chinese,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,26,False,11:30:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:00:00,11:00:00,22:30:00,11:00:00,22:30:00
Lago East Bank,1091 W 10th St,41.50025228,-81.70422456,2,4.0,other,Italian,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,230,True,9:00:00,2:00:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00,11:00:00,2:30:00
Pizza Hut,1407 W 117th St,41.48328971,-81.76846779,1,2.0,Pizza,Italian,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,True,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,23:00:00,11:00:00,0:00:00,11:00:00,0:00:00
Gateway Bar And Grill,651 Huron Rd E,41.498191799999994,-81.68770699999999,2,3.0,Bar,American,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,36,False,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00,7:00:00,23:00:00
The Fresh Fix of Heights,2234 Lee Rd,41.49859,-81.5655266,1,4.0,Bar,American,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,18,False,,,,,10:30:00,20:00:00,10:30:00,20:00:00,10:30:00,20:00:00,10:30:00,20:00:00,10:30:00,20:00:00
La Plaza Supermarket,13609 Lakewood Heights Blvd,41.470111100000004,-81.7859383,1,4.5,Bakeries,Mexican,False,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,264,True,10:00:00,19:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00,10:00:00,20:00:00
Penn Station East Coast Subs,9591 Vista Way,41.4095614,-81.617586,1,3.0,Burgers,other,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,True,11:30:00,20:00:00,10:30:00,22:00:00,10:30:00,22:00:00,10:30:00,22:00:00,10:30:00,22:00:00,10:30:00,22:00:00,10:30:00,22:00:00
My Friends Deli & Restaurant,11616 Detroit Ave,41.483578,-81.76794240000001,1,3.5,Cafe,American,False,True,False,True,True,True,True,False,False,True,True,True,False,False,True,False,True,117,True,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00,12:00:00
Papa John's Pizza,14404 Cedar Rd,41.501017700000006,-81.52126170000001,1,2.0,Pizza,other,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,False,,,,,,,,,,,,,,
Wendy's,14015 Lorain Ave.,41.454693299999995,-81.790696,1,1.5,Fast Food,other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17,False,10:30:00,1:00:00,10:30:00,1:00:00,10:30:00,1:00:00,10:30:00,1:00:00,10:30:00,1:00:00,10:30:00,2:00:00,10:30:00,2:00:00
Chili's,"2121 Euclid Ave, SC 212A",41.50228939,-81.67530234,,2.0,Bar,American,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,False,15:00:00,23:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,0:00:00,11:00:00,22:00:00,15:00:00,22:00:00
Lindey's Lake House -- Flats East Bank,1146 Old River Rd,41.499184,-81.70505899999999,,3.5,other,American,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,85,False,,,,,,,,,,,,,,
Nunzio's Pizzeria,7020 Lorain Ave,41.4735412,-81.73388609999999,1,2.5,Pizza,other,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36,False,,,,,,,,,,,,,,
Einstein Bros Bagels,6799 Pearl Rd,41.3800705,-81.7849819,2,3.5,other,other,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13,True,,,,,,,,,,,,,,
Johnny's Bar,3164 Fulton Rd,41.4677558,-81.7077306,3,4.0,Bar,Italian,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,86,True,,,,,17:00:00,22:00:00,17:00:00,22:00:00,11:30:00,22:00:00,11:30:00,23:00:00,17:00:00,23:00:00
Jackie Chen Wok,2756 Van Aken Blvd,41.4828477,-81.5888412,1,3.5,other,Chinese,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,False,15:00:00,20:30:00,11:30:00,21:30:00,11:30:00,21:30:00,11:30:00,21:30:00,11:30:00,21:30:00,11:30:00,22:30:00,12:00:00,22:30:00
Sachsenheim Hall,7001 Denison Ave,41.461426700000004,-81.7360962,1,4.0,Bar,Mexican,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,57,True,,,17:00:00,1:00:00,16:00:00,1:00:00,17:00:00,1:00:00,17:00:00,1:00:00,17:00:00,1:00:00,17:00:00,1:00:00
Antonio's Pizzeria Loschiavo,5722 Chevrolet Blvd,41.4061,-81.769379,2,3.5,Pizza,Italian,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,28,True,,,,,,,,,,,,,,
Koffie Cafe,2517 Market Ave,41.4842258,-81.7042385,1,3.5,Cafe,other,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,80,False,8:00:00,18:00:00,7:00:00,19:00:00,7:00:00,19:00:00,7:00:00,19:00:00,7:00:00,19:00:00,7:00:00,19:00:00,7:00:00,19:00:00
Benihana,23611 Chagrin Blvd,41.464981,-81.511579,3,2.0,Bar,Japanese,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,122,True,12:00:00,21:00:00,,,17:00:00,21:00:00,17:00:00,21:00:00,17:00:00,21:00:00,11:30:00,22:00:00,12:00:00,22:00:00
Luna's Deli & Restaurant,5198 Pearl Rd,41.4188985,-81.7291709,1,3.0,Sandwiches,American,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,20,False,6:00:00,21:00:00,6:00:00,21:00:00,6:00:00,21:00:00,6:00:00,21:00:00,6:00:00,21:00:00,6:00:00,21:00:00,6:00:00,21:00:00
Momocho,1835 Fulton Rd,41.4840151,-81.70981309999999,2,4.0,other,Mexican,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,776,True,16:00:00,21:00:00,,,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,22:00:00,17:00:00,23:00:00,16:00:00,23:00:00
